"taxon_level","genotype","prevalence","is_core","taxon_name"
"Phylum","B14A/H95",0.471,FALSE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","B14A/MO17",0.6,TRUE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","B14A/OH43",0.4,FALSE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","B37/H95",0.596,FALSE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","B37/MO17",0.419,FALSE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","B37/OH43",0.585,FALSE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","B73/MO17",0.533,FALSE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","B73/PHM49",0.667,TRUE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","B73/PHN82",0.727,TRUE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","CG119/CG108",0.448,FALSE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","CG44/CGR01",0.727,TRUE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","F42/H95",0.333,FALSE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","F42/MO17",0.417,FALSE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","F42/OH43",0.488,FALSE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","LH74/PHN82",0.765,TRUE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","PHG39/PHN82",0.2,FALSE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","PHW52/PHM49",0.824,TRUE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","PHW52/PHN82",0.182,FALSE,"d__Bacteria; p__Verrucomicrobiota"
"Class","2369/LH123HT",0.652,TRUE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","B14A/H95",0.765,TRUE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","B14A/MO17",0.8,TRUE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","B14A/OH43",0.6,TRUE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
