Feature ID	Domain 	Phylum	Class 	Order 	Family 	Genus	Species	Confidence
50ea190ecf42e9f3f7322d5482bfc2fd	d__Bacteria	 p__Acidobacteriota	 c__Vicinamibacteria	 o__Vicinamibacterales	 f__uncultured	 g__uncultured	 s__uncultured_bacterium	0.885329239360212
d8018bf21cfb63396b7a4b053788db7d	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		0.999999999999998
cdd7be028f031c257e722edeca5c3653	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1
d67ef12869a7bd6d49624d92484c0be2	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__uncultured		0.704929025629933
61336fa1efa8e85013dbcd4711f3ed12	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae			0.892003657731537
8aff1386154f4cb0b4539abe58628e9f	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		0.999999999999995
4e133fbe5d0469c36eab9a164e59ec11	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae			0.929907775224553
a34156caf570cbe292e69a70d226f8b9	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1
e9c74422f337fdeeb57ff970346f352d	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		0.999999999999997
923781b247b9c2441267ee6d7bd25002	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		0.999999999999998
90d0d6d2904b76669d49a4f59c36a3f2	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		0.999999999999998
26b2df70f6c5bf983555bad3376c7159	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacterales	 f__Enterobacteriaceae			0.887353520435139
6933fb812eabe3b211248c5ceea0717d	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		0.999999999999993
8d6ed624f0a66292d91a731cfb02708b	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacterales	 f__Enterobacteriaceae			0.888528715235759
052ea0ddafa4bed2996c7d9a887eee08	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1
1748bb46547098669d72e21b74f5b3d3	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Sphingobacteriaceae	 g__Pedobacter		0.998808247115149
261d5e43dd97700c49e657cfd51b51b3	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1
9f2081f28d7e0c862e8de561ba33c883	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacterales	 f__Enterobacteriaceae			0.884407170651799
f61f63f7714e173cb46ccc9034f7fd28	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1
97354dd21f130c96c817621da1557c16	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Pseudomonadaceae	 g__Pseudomonas		0.998128446641062
07c6e15e5d0f8d61d385b40edba124df	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacterales	 f__Enterobacteriaceae			0.888401036759921
cdfe7f45a332e98501fa7d727b59c5f0	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__uncultured		0.757493456633469
72699acd88f9b6d446dc56149b439e2f	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1
f322ce514ce3f47d8e75dc06ce74f36e	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacterales	 f__Erwiniaceae			0.827191276437584
aa5e2ec45fe53e4345586e8ddbef5dbb	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacterales	 f__Enterobacteriaceae			0.888984318175227
2153c849c6ef29a2aaf7dc445e8bc293	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacterales	 f__Enterobacteriaceae			0.885887935292249
09c1e40bfe705a6ca7fd2f3236fd4547	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Kineosporiales	 f__Kineosporiaceae	 g__Quadrisphaera		0.999942104272805
6d439fefac471b1ffe9216ff8dcbae45	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Sphingobacteriaceae	 g__Pedobacter		0.998732619242057
f32cc58e5132fa03147d09a056b5e4cc	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		0.999999999999999
d7a562afd9015976eefd808cc7cb0dd6	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		0.999999999999996
068f3058311bbce087ddae705ff0d70f	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1.00000000000001
b5dc80f21fc983a10109d9bce564a698	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Azospirillales	 f__Azospirillaceae	 g__Azospirillum		0.999999365978427
cb67a4fe82a4e376010ebbde029c0cb8	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacterales	 f__Enterobacteriaceae			0.890210736168702
7eb2f3730b425777b24e7e4f788e71cf	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1.00000000000001
e7fde5fcfec6aa4e0fcee6a58c0e6f26	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacterales	 f__Erwiniaceae			0.826886032699911
9e57864175e0cadb2e480a22e8462991	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1
a292b40572bc18ff4c8a3fc382610822	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		0.999999999999998
8763fcfa3f4cb8220e46fb6fc4aa968d	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacterales	 f__Enterobacteriaceae			0.889241741313664
5075cf61d1af700deb6892a5cd8cbbda	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1
f63960281df930cc28664de2ee97ed91	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Xanthobacteraceae	 g__Bradyrhizobium		0.815396543492642
e20e077655f20473daa843bdc444cc6a	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae			0.907149647998666
3e7114095fa1ec5e901b19e7f4bcde63	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		0.999999999999998
c9ec37e68469d0d6020509781ec06ba7	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1
1d1cb5d77a7f53147af3cf91efeb0261	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Xanthobacteraceae	 g__uncultured	 s__uncultured_Green	0.730318085050577
3519fb68b23396f7446f0fedcee3287b	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__Aquabacterium		0.80919577064094
0578973ebce6098aab9470b4d23ac9be	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Sphingomonas		0.81328587031206
95d75397a30d8617c027abcf7ebf4534	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacterales	 f__Enterobacteriaceae			0.888504450824179
42da3cd141044a9fb62776f00e3868f5	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1
44c0f76720e52c0fb717d1c84b466301	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Sphingobacteriaceae	 g__Pedobacter		0.998768768730876
bf6135823365c9b9db52706e2a2e0efc	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Sphingomonas		0.822339054720775
0a0f3ba2b4f56a374301dcc41eff370d	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Streptococcaceae	 g__Lactococcus		0.999997919490834
6e4a5532c2a26c9c3dc68e43cdeef35e	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Sphingobacteriaceae	 g__Pedobacter		0.998902247784246
88a2ecc796332b33344228c7643b6411	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacterales	 f__Enterobacteriaceae			0.886554691464152
88996a1cbb31abe9f9f097645db67da2	d__Bacteria	 p__Acidobacteriota	 c__Vicinamibacteria	 o__Vicinamibacterales	 f__uncultured	 g__uncultured		0.988774139347654
a3c1fe7900d502870b1812b41589314b	d__Bacteria	 p__Acidobacteriota	 c__Vicinamibacteria	 o__Vicinamibacterales	 f__Vicinamibacteraceae	 g__Vicinamibacteraceae		0.979986884351461
425599aba1f0d8993f73dc4d805406ae	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__Delftia		0.723543375142362
79a2088e88aeb4bace9bd2702a9105cc	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacterales	 f__Erwiniaceae			0.831769103600296
51e8ba0c14138f1c1297b3e4a7d13b54	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Azospirillales	 f__Azospirillaceae	 g__Azospirillum		0.99999922611476
f46b8270277397eafac0f8874d66b5f4	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacterales	 f__Erwiniaceae			0.839369598303815
7ff645cdfa7a638ffbb7b879b9a0ab98	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacterales	 f__Erwiniaceae			0.82572206221054
8df12af95129df7aa29dee400c860b90	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__Delftia		0.702447502762446
11d6103f0126bf9313333c732251caf4	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Sphingomonas		0.999476290089581
4c0198d3c342b0e4ec48f5271ced7b54	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae			0.898897849968645
4bc4cff97301f281c2b1b927b8b70006	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae			0.936274783572186
491c27c0fc209fbcd4cc876d70189800	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae			0.999995116005746
91bb1693b611455ab368a5f895e0b924	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Rhizobiaceae			0.999973000389417
125970406e39cfba2c0fa61bc40a18d2	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__Polaromonas		0.915266646056265
cbe60004c6adf3bd43060b6f37686627	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacterales	 f__Enterobacteriaceae			0.886992807799466
a0e2ef936ad233fba86ee204e23e6f83	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae			0.885206831042389
5d87639dc15c5afcf745cafca150748c	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacterales	 f__Enterobacteriaceae			0.886426522447261
60449a083529ebe6c15005aaada6754b	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Weeksellaceae	 g__Chryseobacterium		0.999494688746207
272cac295d2e80218f603b9c5e373303	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae			0.905639796935258
1f7c53045d89c24b417325c8d89c91e7	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__uncultured		0.80155614971694
2ad58dc9b8b66a3a609dbbabf3a5aa53	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacterales	 f__Enterobacteriaceae			0.889238822520032
e701968c459274e8b985ba7f3e253486	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		0.999999999999993
c2b27c7718555fbb267b3dfc1d94bb3c	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Sphingomonas		0.821710450876552
