"sampleID","location","rep_number","plot_number","Corrected_pedigree","Observed","Simpson","Shannon"
"GAH2-2-441","GAH2",2,441,"B37/OH43",28,0.930854222222222,2.95784898247045
"GAH2-2-458","GAH2",2,458,"B37/MO17",29,0.939184888888889,3.0378193029137
"GAH2-2-461","GAH2",2,461,"B37/MO17",21,0.910541333333333,2.65555692990001
"GAH2-2-472","GAH2",2,472,"B37/MO17",32,0.953816888888889,3.21975209240969
"GAH2-2-487","GAH2",2,487,"CG119/CG108",42,0.961461333333333,3.48008324128338
"GAH2-2-494","GAH2",2,494,"TX714/TX779",46,0.967238222222222,3.56817172251178
"IAH2-1-148","IAH2",1,148,"F42/OH43",45,0.973146666666667,3.70199670528334
"IAH2-1-160","IAH2",1,160,"F42/H95",44,0.971848,3.66283874711494
"IAH2-1-207","IAH2",1,207,"B73/PHN82",24,0.947402666666667,3.04979897712539
"IAH2-1-230","IAH2",1,230,"B73/PHM49",64,0.977244444444444,3.98545419045348
"IAH2-1-238","IAH2",1,238,"PHG39/PHN82",91,0.984376,4.3241774278055
"IAH2-1-27","IAH2",1,27,"CG119/CG108",85,0.981524444444444,4.17447445001133
"IAH2-1-321","IAH2",1,321,"LH74/PHN82",41,0.962865777777778,3.50952524003528
"IAH2-1-345","IAH2",1,345,"2369/LH123HT",40,0.969076444444444,3.56303732213794
"IAH2-1-349","IAH2",1,349,"B37/H95",37,0.967126222222222,3.50285124662306
"IAH2-1-378","IAH2",1,378,"B73/MO17",74,0.978708444444444,4.04496128915648
"IAH2-1-379","IAH2",1,379,"B14A/H95",44,0.966024888888889,3.58142640890985
"IAH2-1-424","IAH2",1,424,"CG44/CGR01",41,0.959317333333333,3.39048489771042
"IAH2-1-431","IAH2",1,431,"PHW52/PHN82",45,0.968220444444444,3.60792662466019
"IAH2-1-44","IAH2",1,44,"B37/OH43",37,0.964180444444444,3.4672028665322
"IAH2-1-452","IAH2",1,452,"PHW52/PHM49",35,0.960115555555556,3.41039270621846
"IAH2-1-5","IAH2",1,5,"B37/MO17",67,0.977618666666667,3.98251863673576
"IAH2-1-85","IAH2",1,85,"B14A/OH43",135,0.983260444444444,4.58147370695914
"IAH2-2-542","IAH2",2,542,"F42/H95",83,0.983396444444444,4.24860205818109
"IAH2-2-562","IAH2",2,562,"B14A/OH43",38,0.965650666666667,3.50338058059307
"IAH2-2-570","IAH2",2,570,"B37/MO17",29,0.936478222222222,3.00588701537171
"IAH2-2-605","IAH2",2,605,"B14A/MO17",51,0.974723555555556,3.80103719277109
"IAH2-2-625","IAH2",2,625,"B37/OH43",55,0.976485333333333,3.85741383138563
"IAH2-2-633","IAH2",2,633,"CG44/CGR01",43,0.947087111111111,3.27661645238231
"IAH2-2-638","IAH2",2,638,"B14A/H95",62,0.980141333333333,4.01570346527605
"IAH2-2-640","IAH2",2,640,"PHG39/PHN82",68,0.968695111111111,3.84084103268043
"IAH2-2-693","IAH2",2,693,"PHW52/PHM49",44,0.967633777777778,3.61503563771702
"IAH2-2-710","IAH2",2,710,"F42/MO17",32,0.913050666666667,2.80102203827665
"IAH2-2-739","IAH2",2,739,"CG119/CG108",27,0.929358222222222,2.85972017770093
"IAH2-2-742","IAH2",2,742,"PHW52/PHN82",49,0.974516444444444,3.76757990274131
"IAH2-2-777","IAH2",2,777,"F42/OH43",42,0.968000888888889,3.56946932518059
"IAH2-2-788","IAH2",2,788,"B37/H95",31,0.961360888888889,3.34273771223732
"IAH2-2-804","IAH2",2,804,"2369/LH123HT",60,0.976367111111111,3.90432003765078
"IAH2-2-843","IAH2",2,843,"B73/MO17",24,0.952273777777778,3.10400963612275
"IAH2-2-871","IAH2",2,871,"B73/PHN82",57,0.973127111111111,3.83089766436601
"IAH2-2-907","IAH2",2,907,"B73/PHM49",59,0.976041777777778,3.88674185983814
"IAH2-2-921","IAH2",2,921,"LH74/PHN82",54,0.974940444444444,3.80117158558438
"IAH4-1-125","IAH4",1,125,"CG119/CG108",59,0.971887111111111,3.75778953960531
"IAH4-1-176","IAH4",1,176,"B14A/OH43",35,0.957772444444444,3.31318122461912
"IAH4-1-249","IAH4",1,249,"B14A/H95",18,0.921893333333333,2.6665543409636
"IAH4-1-337","IAH4",1,337,"B73/MO17",30,0.947921777777778,3.14531571601985
"IAH4-1-353","IAH4",1,353,"F42/OH43",42,0.962272,3.46608237442234
"IAH4-1-356","IAH4",1,356,"F42/MO17",48,0.958419555555556,3.47379438262567
"IAH4-1-366","IAH4",1,366,"LH74/PHN82",40,0.961057777777778,3.42506194463748
"IAH4-1-369","IAH4",1,369,"B37/H95",41,0.969408888888889,3.57584046572005
"IAH4-1-459","IAH4",1,459,"PHG39/PHN82",27,0.938237333333333,2.98024248290772
"IAH4-1-462","IAH4",1,462,"B73/PHM49",28,0.945591111111111,3.10008173278043
"IAH4-1-49","IAH4",1,49,"B14A/MO17",28,0.946186666666667,3.09757704672613
"IAH4-1-513","IAH4",1,513,"PHW52/PHM49",22,0.936985777777778,2.89235121404544
"IAH4-1-543","IAH4",1,543,"B14A/MO17",25,0.949128888888889,3.06152102128739
"IAH4-1-57","IAH4",1,57,"PHG39/PHN82",31,0.955160888888889,3.2308419123103
"IAH4-1-582","IAH4",1,582,"B14A/OH43",26,0.947235555555556,3.07019969321798
