"taxon_level","genotype","prevalence","is_core","taxon_name"
"Phylum","LH74/PHN82",0.571,FALSE,"d__Bacteria; p__Deinococcota"
"Phylum","PHG39/PHN82",0.308,FALSE,"d__Bacteria; p__Deinococcota"
"Phylum","PHW52/PHM49",0.353,FALSE,"d__Bacteria; p__Deinococcota"
"Phylum","PHW52/PHN82",0.455,FALSE,"d__Bacteria; p__Deinococcota"
"Phylum","2369/LH123HT",0.909,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","B14A/H95",0.875,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","B14A/MO17",0.8,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","B14A/OH43",0.842,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","B37/H95",0.764,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","B37/MO17",0.733,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","B37/OH43",0.825,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","B73/MO17",0.846,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","B73/PHM49",0.909,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","B73/PHN82",0.8,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","CG119/CG108",0.667,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","CG44/CGR01",0.773,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","F42/H95",0.667,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","F42/MO17",0.833,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","F42/OH43",0.775,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","LH74/PHN82",0.857,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","PHG39/PHN82",0.615,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","PHW52/PHM49",0.765,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","PHW52/PHN82",0.727,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","2369/LH123HT",0.545,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","B14A/H95",0.375,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","B14A/MO17",0.533,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","B14A/OH43",0.368,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","B37/H95",0.473,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","B37/MO17",0.5,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","B37/OH43",0.375,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","B73/MO17",0.308,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","B73/PHM49",0.273,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","B73/PHN82",0.7,TRUE,"d__Bacteria; p__Myxococcota"
"Phylum","CG119/CG108",0.296,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","CG44/CGR01",0.455,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","F42/H95",0.667,TRUE,"d__Bacteria; p__Myxococcota"
"Phylum","F42/MO17",0.167,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","F42/OH43",0.375,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","LH74/PHN82",0.429,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","PHG39/PHN82",0.462,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","PHW52/PHM49",0.412,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","PHW52/PHN82",0.636,TRUE,"d__Bacteria; p__Myxococcota"
"Phylum","2369/LH123HT",0.773,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","B14A/H95",0.625,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","B14A/MO17",1,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","B14A/OH43",0.526,FALSE,"d__Bacteria; p__Planctomycetota"
"Phylum","B37/H95",0.745,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","B37/MO17",0.533,FALSE,"d__Bacteria; p__Planctomycetota"
"Phylum","B37/OH43",0.65,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","B73/MO17",0.769,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","B73/PHM49",0.909,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","B73/PHN82",0.8,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","CG119/CG108",0.778,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","CG44/CGR01",0.636,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","F42/H95",0.75,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","F42/MO17",0.75,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","F42/OH43",0.775,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","LH74/PHN82",0.857,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","PHG39/PHN82",0.538,FALSE,"d__Bacteria; p__Planctomycetota"
"Phylum","PHW52/PHM49",0.706,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","PHW52/PHN82",0.818,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","2369/LH123HT",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","B14A/H95",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","B14A/MO17",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","B14A/OH43",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","B37/H95",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","B37/MO17",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","B37/OH43",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","B73/MO17",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","B73/PHM49",1,TRUE,"d__Bacteria; p__Proteobacteria"
