"taxon_level","location","prevalence","is_core","taxon_name"
"Phylum","INH1",0.091,FALSE,"d__Bacteria; p__Deinococcota"
"Phylum","MIH1",0.154,FALSE,"d__Bacteria; p__Deinococcota"
"Phylum","MNH1",0.923,TRUE,"d__Bacteria; p__Deinococcota"
"Phylum","MOH1",0.536,FALSE,"d__Bacteria; p__Deinococcota"
"Phylum","NCH1",0.146,FALSE,"d__Bacteria; p__Deinococcota"
"Phylum","NEH1",0.062,FALSE,"d__Bacteria; p__Deinococcota"
"Phylum","NEH2",0.125,FALSE,"d__Bacteria; p__Deinococcota"
"Phylum","NYH2",0.333,FALSE,"d__Bacteria; p__Deinococcota"
"Phylum","NYH3",0.167,FALSE,"d__Bacteria; p__Deinococcota"
"Phylum","OHH1",0.389,FALSE,"d__Bacteria; p__Deinococcota"
"Phylum","SCH1",0.105,FALSE,"d__Bacteria; p__Deinococcota"
"Phylum","DEH1",0.648,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","GAH2",0.733,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","IAH2",0.861,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","IAH4",0.8,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","INH1",0.818,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","MIH1",0.692,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","MNH1",0.677,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","MOH1",0.821,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","NCH1",0.792,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","NEH1",0.812,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","NEH2",0.875,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","NYH2",0.533,FALSE,"d__Bacteria; p__Firmicutes"
"Phylum","NYH3",0.583,FALSE,"d__Bacteria; p__Firmicutes"
"Phylum","OHH1",0.778,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","SCH1",0.921,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","DEH1",0.37,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","GAH2",0.378,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","IAH2",0.556,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","IAH4",0.3,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","INH1",0.455,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","MIH1",0.154,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","MNH1",0.554,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","MOH1",0.25,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","NCH1",0.625,TRUE,"d__Bacteria; p__Myxococcota"
"Phylum","NEH1",0.625,TRUE,"d__Bacteria; p__Myxococcota"
"Phylum","NEH2",0.562,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","NYH2",0.333,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","NYH3",0.25,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","OHH1",0.222,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","SCH1",0.395,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","DEH1",0.685,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","GAH2",0.222,FALSE,"d__Bacteria; p__Planctomycetota"
"Phylum","IAH2",0.861,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","IAH4",0.833,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","INH1",0.545,FALSE,"d__Bacteria; p__Planctomycetota"
"Phylum","MIH1",0.154,FALSE,"d__Bacteria; p__Planctomycetota"
"Phylum","MNH1",0.954,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","MOH1",0.464,FALSE,"d__Bacteria; p__Planctomycetota"
"Phylum","NCH1",0.938,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","NEH1",0.938,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","NEH2",0.938,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","NYH2",0.6,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","NYH3",0.417,FALSE,"d__Bacteria; p__Planctomycetota"
"Phylum","OHH1",0.611,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","SCH1",0.579,FALSE,"d__Bacteria; p__Planctomycetota"
"Phylum","DEH1",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","GAH2",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","IAH2",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","IAH4",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","INH1",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","MIH1",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","MNH1",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","MOH1",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","NCH1",0.979,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","NEH1",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","NEH2",1,TRUE,"d__Bacteria; p__Proteobacteria"
