"level","taxon","term","SS","pval","herit"
"class","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales","Maize Genotype",82161.9663949495,0.0815210937085376,0.0721424521558308
"class","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales","GXE",223765.175838675,0.826263744885816,0.196477387292364
"class","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales","Environment",260913.110835499,6.37064077650914e-08,0.136155250232023
"class","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales","Maize Genotype",102123.42839236,0.244630516851685,0.0532922278331984
"class","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales","GXE",564341.324070262,0.0299429427654093,0.294496638934725
"class","d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales","Environment",758233.146340508,2.1322251739959e-31,0.354882225421513
"class","d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales","Maize Genotype",151681.101554969,0.000386496286987771,0.0709925794381459
"class","d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales","GXE",546443.483024785,3.94384595409663e-05,0.25575653116572
"class","d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales","Environment",50387.6788866805,1.25454185538096e-10,0.179612355217854
"class","d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales","Maize Genotype",14292.481477005,0.297675186502633,0.0509471028773862
"class","d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales","GXE",70084.4610020407,0.191652778873877,0.249823674812651
"class","d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales","Environment",256145.881468462,1.70882675199926e-19,0.326692288820417
"class","d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales","Maize Genotype",18404.7825640573,0.941812182182291,0.023473734992824
"class","d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales","GXE",108148.983030899,0.991134168937057,0.13793483071995
"class","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales","Environment",69143.500566474,6.1898668536882e-06,0.0857720810161775
"class","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales","Maize Genotype",37464.3492324578,0.179326738920422,0.0464742914555707
"class","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales","GXE",361934.006526154,5.07726354047958e-09,0.448976876726478
"class","d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales","Environment",63726.5842055627,1.75850708112992e-05,0.11827881328936
"class","d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales","Maize Genotype",19986.8819360893,0.809531848605554,0.0370963657667507
"class","d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales","GXE",122049.990064294,0.752820324965222,0.226529134846094
"class","d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales","Environment",4349.66919350038,0.000954348048451004,0.0577283728714044
"class","d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales","Maize Genotype",6987.03189617765,0.000370800873743546,0.0927311858956208
"class","d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales","GXE",32769.9787598675,1.1177644423505e-08,0.434919868311927
"class","d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales","Environment",11497.9026762534,0.00130867653820977,0.0777202153416999
"class","d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales","Maize Genotype",6643.32067823954,0.558992355002605,0.0449056082865528
"class","d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales","GXE",44640.3022541563,0.0839796173275519,0.301746675180774
"class","d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales","Environment",77112.7410023812,7.75924833834007e-09,0.161087677810609
"class","d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales","Maize Genotype",34301.6814540454,0.0777540569406745,0.0716558397303082
"class","d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales","GXE",102501.490718499,0.645987757148986,0.214124500015617
"class","d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales","Environment",107251.161888352,6.88916232799357e-09,0.17551065427372
"class","d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales","Maize Genotype",22491.3260757394,0.792493153345871,0.0368058236902452
"class","d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales","GXE",115021.339494054,0.938493086911353,0.188226124496966
"class","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales","Environment",1360.6605687438,0.873251738689256,0.0154682846190742
"class","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales","Maize Genotype",11131.5916127412,0.00273826472329961,0.126546349092888
"class","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales","GXE",17160.9385230074,0.971011417981,0.195089273182499
"class","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Azospirillales","Environment",23550.1663812818,0.0486919640077081,0.0444557302930303
"class","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Azospirillales","Maize Genotype",40340.933353429,0.0379431324799772,0.0761517190109781
"class","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Azospirillales","GXE",185591.385601099,0.00277633606217126,0.350341498629497
"class","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales","Environment",35223.9105262255,3.11592436252984e-06,0.124073510922599
"class","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales","Maize Genotype",17528.0401755854,0.216973301730978,0.0617411710309129
"class","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales","GXE",66277.5926347038,0.563554518808789,0.233457713548386
"class","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales","Environment",139785.260122705,0.000588021243317248,0.0719662036951682
"class","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales","Maize Genotype",113351.227145659,0.131853880043494,0.0583570649344651
"class","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales","GXE",729539.376194123,0.000152920157947247,0.375591670428952
"class","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales","Environment",234177.669839756,1.29060354245306e-08,0.156239747437645
"class","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales","Maize Genotype",68185.4411487824,0.489339637905173,0.0454922799056801
"class","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales","GXE",373607.179256542,0.294918895155697,0.24926497632279
"class","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales","Environment",909237.251974519,2.19076549885467e-15,0.243595710469746
"class","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales","Maize Genotype",182399.56359408,0.279711594174979,0.0488670599302685
"class","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales","GXE",812147.126731827,0.340514513252661,0.217584085905607
"class","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales","Environment",1347259.52477687,1.10500635946224e-16,0.243019110210794
"class","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales","Maize Genotype",332448.946807016,0.0645135403222851,0.0599672488913648
"class","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales","GXE",1371965.63576279,0.0476440280841443,0.247475606526573
"class","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales","Environment",930040.035862929,7.39088320172775e-16,0.234360554688168
"class","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales","Maize Genotype",131149.771459359,0.642112648841834,0.0330483979196912
"class","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales","GXE",1093792.49279483,0.0134847840475891,0.275624495118972
"class","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales","Environment",41449.1208348672,7.31517619805082e-10,0.135186348346604
"class","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales","Maize Genotype",9428.63506722458,0.627788502535938,0.0307515025399191
"class","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales","GXE",127106.060300174,8.7950102176537e-08,0.414556540611818
"class","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales","Environment",42738.8338422336,2.07145716520092e-06,0.109968058930288
"class","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales","Maize Genotype",23339.5258343846,0.123691730844534,0.0600531676141412
"class","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales","GXE",127331.860173957,0.0036681935094019,0.327627973074827
"order","d__Archaea;p__Crenarchaeota;c__Nitrososphaeria","Environment",39341.7604957613,9.44847089507799e-10,0.156134067004305
"order","d__Archaea;p__Crenarchaeota;c__Nitrososphaeria","Maize Genotype",9315.50501869367,0.595619764292014,0.0369700711518581
"order","d__Archaea;p__Crenarchaeota;c__Nitrososphaeria","GXE",79939.1497455974,0.00412546096479495,0.317251297485556
"order","d__Bacteria;__;__","Environment",25839.0889276236,0.00619654450574607,0.0748072135687009
"order","d__Bacteria;__;__","Maize Genotype",8092.97679867681,0.98515580856898,0.0234301234645287
"order","d__Bacteria;__;__","GXE",84561.7476867517,0.722252336848894,0.244816244747032
"order","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae","Environment",8700.99430206219,0.00424370244604493,0.0660906923359883
"order","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae","Maize Genotype",4988.94959562787,0.700085575178914,0.0378948797525644
"order","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae","GXE",44901.5782486915,0.0100566905981029,0.341061755750287
"order","d__Bacteria;p__Acidobacteriota;c__Blastocatellia","Environment",28684.4009161205,1.5453332647364e-05,0.119530097832799
"order","d__Bacteria;p__Acidobacteriota;c__Blastocatellia","Maize Genotype",14092.5258392969,0.333858814803728,0.0587246356376135
"order","d__Bacteria;p__Acidobacteriota;c__Blastocatellia","GXE",48596.3407428984,0.906322435181304,0.202504677727126
"order","d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria","Environment",1135030.97780659,2.58127115137852e-33,0.432471320200918
"order","d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria","Maize Genotype",74075.5875575725,0.5522822785021,0.0282243989565727
"order","d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria","GXE",471452.952142106,0.136892387430004,0.179633758560076
"order","d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia","Environment",17385.7184738552,5.97257538586685e-09,0.140271394379396
"order","d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia","Maize Genotype",7251.17139023328,0.106260946357343,0.0585038762316079
"order","d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia","GXE",40301.7676970103,0.00153766272345324,0.325162584411765
"order","d__Bacteria;p__Actinobacteriota;c__Actinobacteria","Environment",431820.041179033,2.18463967122561e-07,0.14138435634852
